,bond,difficult
0,http://dl-learner.org/carcinogenesis#d84,0.0008085955547355319
1,http://dl-learner.org/carcinogenesis#d84a_29,0.0014316060889420744
2,http://dl-learner.org/carcinogenesis#bond1990,2.397046856139734e-05
3,http://dl-learner.org/carcinogenesis#d157_40,0.004473188257432951
4,http://dl-learner.org/carcinogenesis#d111,-0.0005624968486363093
5,http://dl-learner.org/carcinogenesis#Compound,-0.007602342138471894
6,http://dl-learner.org/carcinogenesis#bond4528,0.0011803233751866127
7,http://dl-learner.org/carcinogenesis#d234_11,-0.0005566620165028026
8,http://dl-learner.org/carcinogenesis#bond5038,-0.0030161393799896423
9,http://dl-learner.org/carcinogenesis#d252_2,-0.0030545072817810552
10,http://dl-learner.org/carcinogenesis#d66_26,-0.00904333354444009
11,http://dl-learner.org/carcinogenesis#Hydrogen-3,0.00025085935103874444
12,http://dl-learner.org/carcinogenesis#methyl-3031,0.0005410259864299142
13,http://dl-learner.org/carcinogenesis#Methyl,0.00019710822850602057
14,http://dl-learner.org/carcinogenesis#bond8766,-0.007120799974073886
15,http://dl-learner.org/carcinogenesis#Bond-1,0.00013610282301097673
16,http://dl-learner.org/carcinogenesis#bond7056,-0.0044378517661681416
17,http://dl-learner.org/carcinogenesis#d326_2,-0.0034635715596065143
18,http://dl-learner.org/carcinogenesis#bond1875,-0.0027947992063144717
19,http://dl-learner.org/carcinogenesis#d216,0.0013421529915212433
20,http://dl-learner.org/carcinogenesis#non_ar_hetero_6_ring-1345,0.0021829676050552156
21,http://dl-learner.org/carcinogenesis#d37,-0.00014790171369958815
22,http://dl-learner.org/carcinogenesis#bond7557,-0.004829596393137805
23,http://dl-learner.org/carcinogenesis#bond3743,-0.0006058441527700646
24,http://dl-learner.org/carcinogenesis#d208_2_49,1.4469940545862737e-05
25,http://dl-learner.org/carcinogenesis#bond7619,-0.0035904431724314923
26,http://dl-learner.org/carcinogenesis#d39_15,-0.0028052059833750136
27,http://dl-learner.org/carcinogenesis#d56,-0.00013235043936352992
28,http://dl-learner.org/carcinogenesis#bond8036,-0.0020593549659479247
29,http://dl-learner.org/carcinogenesis#d107c_69,0.0006618206524208791
30,0.05,-0.0008947994807999511
31,http://dl-learner.org/carcinogenesis#d62,0.0007526004776773648
32,http://dl-learner.org/carcinogenesis#bond8208,0.0030448250469455027
33,http://dl-learner.org/carcinogenesis#d186,0.00042182155266832415
34,http://dl-learner.org/carcinogenesis#d186a_106,0.00037918020863369903
35,http://dl-learner.org/carcinogenesis#d130,0.0004852230069813706
36,true,0.00844204301303114
37,http://dl-learner.org/carcinogenesis#d61_25,0.0005866365435102854
38,0.067,-0.001394728695489854
